name,selling_price,km_driven,fuel,transmission,engine (CC),max_power(bhp),seats,Clusters
Renault KWID RXT,315000,51500,Petrol,Manual,799.0,53.3,5.0,1
Chevrolet Sail 1.3 LS,250000,60000,Diesel,Manual,1248.0,74.0,5.0,0
Ford Figo Diesel EXI,200000,104500,Diesel,Manual,1399.0,68.0,5.0,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,30000,Diesel,Manual,1498.0,98.96,5.0,0
Renault Duster 110PS Diesel RxL,400000,120000,Diesel,Manual,1461.0,108.45,5.0,0
Maruti Swift ZDi,509999,100000,Diesel,Manual,1248.0,74.0,5.0,0
Honda Civic 1.8 V MT,375000,90000,Petrol,Manual,1799.0,130.0,5.0,1
Maruti Wagon R LXI,150000,150000,Petrol,Manual,998.0,67.1,5.0,1
Maruti Wagon R AX,75000,60000,Petrol,Automatic,998.0,67.1,5.0,2
Hyundai Verna 1.4 VTVT,465000,50000,Petrol,Manual,1396.0,105.5,5.0,1
Hyundai Grand i10 1.2 CRDi Asta,700000,10000,Diesel,Manual,1186.0,73.97,5.0,0
Mahindra Scorpio 1.99 S10,950000,120000,Diesel,Manual,1997.0,120.0,7.0,0
Hyundai i20 1.2 Asta,610000,40000,Petrol,Manual,1197.0,81.83,5.0,1
Maruti Alto 800 LXI,235000,50000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Eeco 5 Seater AC BSIV,330000,90000,Petrol,Manual,1196.0,73.0,5.0,1
Nissan Terrano XE 85 PS,472000,90000,Diesel,Manual,1461.0,83.8,5.0,0
Maruti Swift VXI,585000,10000,Petrol,Manual,1197.0,81.8,5.0,1
Mahindra Supro LX 8 Str,500000,10000,Diesel,Manual,909.0,45.0,8.0,0
Maruti Alto K10 VXI,360000,27000,Petrol,Manual,998.0,67.05,5.0,1
Maruti Swift Dzire VDI,649000,70000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Omni MPI CARGO BSIV,200000,50000,Petrol,Manual,796.0,34.2,5.0,1
Hyundai Grand i10 CRDi Magna,400000,110000,Diesel,Manual,1120.0,70.0,5.0,0
Maruti Celerio VDi,250000,100000,Diesel,Manual,793.0,47.0,5.0,0
Mahindra Marazzo M6,1200000,50000,Diesel,Manual,1497.0,121.0,7.0,0
Maruti Swift Vdi BSIII,250000,105000,Diesel,Manual,1248.0,75.0,5.0,0
Toyota Innova 2.5 GX (Diesel) 8 Seater,819999,110000,Diesel,Manual,2494.0,100.6,8.0,0
Mahindra XUV500 W8 2WD,800000,60000,Diesel,Manual,2179.0,140.0,7.0,0
Ford Ecosport 1.0 Ecoboost Titanium Optional,429000,49102,Petrol,Manual,999.0,123.37,5.0,1
Hyundai Santro Xing GLS,150000,60000,Petrol,Manual,1086.0,62.1,5.0,1
Chevrolet Beat Diesel LT,170000,90000,Diesel,Manual,936.0,57.6,5.0,0
Honda Brio Exclusive Edition,335000,33033,Petrol,Manual,1198.0,86.8,5.0,1
Hyundai Grand i10 AT Asta,465000,63063,Petrol,Automatic,1197.0,82.0,5.0,2
Renault Duster 110PS Diesel RxL,360000,81000,Diesel,Manual,1461.0,108.45,5.0,0
Hyundai Xcent 1.2 CRDi SX,570000,80000,Diesel,Manual,1186.0,73.97,5.0,0
Renault Duster 110PS Diesel RxZ,350000,105000,Diesel,Manual,1461.0,108.45,5.0,0
Maruti Ertiga BSIV VXI,700000,227000,Petrol,Manual,1373.0,91.1,7.0,1
Renault Duster 110PS Diesel RxZ,375000,100000,Diesel,Manual,1461.0,108.45,5.0,0
Maruti Eeco CNG 5 Seater AC BSIV,450000,60000,CNG,Manual,1196.0,61.7,5.0,3
Hyundai i20 Magna 1.4 CRDi (Diesel),325000,70000,Diesel,Manual,1396.0,88.76,5.0,0
Volkswagen Vento Diesel Comfortline,260000,120000,Diesel,Manual,1598.0,103.6,5.0,0
Maruti Alto LXi BSIII,130000,80000,Petrol,Manual,796.0,46.3,5.0,1
Tata New Safari DICOR 2.2 EX 4x2,150000,120000,Diesel,Manual,2179.0,138.1,7.0,0
Hyundai Santro Xing GLS,220000,40000,Petrol,Manual,1086.0,62.1,5.0,1
Hyundai i10 Magna 1.2 iTech SE,275000,53000,Petrol,Manual,1197.0,78.9,5.0,1
Maruti Swift LDI Optional,455000,60000,Diesel,Manual,1248.0,74.0,5.0,0
Hyundai i20 1.2 Magna Executive,570000,30000,Petrol,Manual,1197.0,81.83,5.0,1
Volkswagen Vento Diesel Highline,330000,100000,Diesel,Manual,1598.0,103.6,5.0,0
Toyota Innova Crysta 2.4 VX MT BSIV,1576000,70000,Diesel,Manual,2393.0,147.8,7.0,0
Maruti Ertiga ZDI,450000,98000,Diesel,Manual,1248.0,88.8,7.0,0
Hyundai EON Magna Plus,250000,60000,Petrol,Manual,814.0,55.2,5.0,1
Hyundai i10 Sportz,165000,80000,Petrol,Manual,1197.0,78.9,5.0,1
Mahindra Ssangyong Rexton RX7,800000,117000,Diesel,Automatic,2696.0,184.0,7.0,2
Honda Jazz 1.2 V i VTEC,680000,8576,Petrol,Manual,1199.0,88.7,5.0,1
Tata Tigor 1.2 Revotron XZA,525000,19723,Petrol,Automatic,1199.0,84.0,5.0,2
Honda City 1.5 V MT Sunroof,825000,21446,Petrol,Manual,1497.0,116.3,5.0,1
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,750000,52289,Diesel,Manual,1248.0,88.5,5.0,0
Mahindra Scorpio S4 Plus,950000,52236,Diesel,Manual,2179.0,120.0,7.0,0
Mahindra Scorpio S4 Plus 4WD,950000,54470,Diesel,Manual,2179.0,120.0,7.0,0
Hyundai i20 1.4 CRDi Magna,675000,25471,Diesel,Manual,1396.0,90.0,5.0,0
Tata Tiago XT,490000,33928,Petrol,Manual,1199.0,84.48,5.0,1
Mahindra TUV 300 T4 Plus,775000,59736,Diesel,Manual,1493.0,100.0,7.0,0
Honda City 1.5 V MT,350000,54290,Petrol,Manual,1497.0,118.0,5.0,1
Honda Brio S MT,475000,2118,Petrol,Manual,1198.0,86.8,5.0,1
Mahindra Scorpio S4 7 Seater,950000,61379,Diesel,Manual,2179.0,120.0,7.0,0
Honda City i-VTEC S,350000,58544,Petrol,Manual,1497.0,117.3,5.0,1
Maruti Wagon R VXI,400000,74381,Petrol,Manual,998.0,67.05,5.0,1
Maruti 800 DX 5 Speed,75000,35000,Petrol,Manual,796.0,37.0,4.0,1
Ford Ecosport 1.5 DV5 MT Titanium,850000,63982,Diesel,Manual,1498.0,89.84,5.0,0
Maruti Wagon R VXI,175000,65000,Petrol,Manual,998.0,67.1,5.0,1
Mahindra Bolero 2011-2019 SLE,570000,74000,Diesel,Manual,2523.0,62.1,7.0,0
Renault Duster 110PS Diesel RxZ,525000,56429,Diesel,Manual,1461.0,108.45,5.0,0
Hyundai i10 Magna 1.2 iTech SE,270000,56000,Petrol,Manual,1197.0,78.9,5.0,1
Hyundai Santro Magna,434999,19500,Petrol,Manual,1086.0,68.07,5.0,1
Hyundai i20 Asta Option 1.2,495000,30000,Petrol,Manual,1197.0,81.83,5.0,1
Hyundai i20 Asta Option 1.4 CRDi,575000,53000,Diesel,Manual,1396.0,88.73,5.0,0
Hyundai Xcent 1.2 VTVT S,600000,5000,Petrol,Manual,1197.0,81.86,5.0,1
Hyundai Verna 1.6 VTVT S Option,700000,25000,Petrol,Manual,1591.0,121.4,5.0,1
Honda City i DTec V,560000,72000,Diesel,Manual,1498.0,98.6,5.0,0
Mahindra Bolero DI AC BSIII,250000,80000,Diesel,Manual,2523.0,63.0,7.0,0
Skoda Rapid 1.6 MPI Ambition Plus,409999,29000,Petrol,Manual,1598.0,103.5,5.0,1
Nissan Terrano XL D Option,495000,56832,Diesel,Manual,1461.0,83.14,5.0,0
Hyundai Elite i20 Petrol Asta,470000,30528,Petrol,Manual,1197.0,81.86,5.0,1
Honda Amaze S Diesel,350000,65285,Diesel,Manual,1498.0,98.63,5.0,0
Toyota Innova Crysta 2.4 G MT 8 STR,1560000,20102,Diesel,Manual,2393.0,147.51,8.0,0
Honda Jazz 1.2 S i VTEC,480000,43000,Petrol,Manual,1199.0,88.7,5.0,1
Toyota Etios Liva 1.4 GD,270000,52380,Diesel,Manual,1364.0,67.04,5.0,0
Mahindra Bolero B2,660000,74250,Diesel,Manual,1498.0,74.96,7.0,0
Maruti Ignis 1.2 AMT Alpha BSIV,490000,57247,Petrol,Automatic,1197.0,81.8,5.0,2
Maruti Vitara Brezza ZDi Plus,800000,52000,Diesel,Manual,1248.0,88.5,5.0,0
Nissan Sunny XV,350000,47000,Petrol,Manual,1498.0,97.7,5.0,1
Ford Fiesta EXi 1.4 TDCi Ltd,170000,80000,Diesel,Manual,1399.0,68.0,5.0,0
Tata Indica Vista Aqua 1.3 Quadrajet,125000,85000,Diesel,Manual,1248.0,75.0,5.0,0
Maruti Swift Dzire VDi,400000,100000,Diesel,Manual,1248.0,73.9,5.0,0
Nissan Sunny XV,250000,110000,Petrol,Manual,1498.0,97.7,5.0,1
Fiat Linea Emotion (Diesel),190000,178000,Diesel,Manual,1248.0,91.7,5.0,0
Maruti Alto LX,125000,120000,Petrol,Manual,796.0,46.3,5.0,1
Jeep Compass 2.0 Limited 4X4,1950000,70000,Diesel,Manual,1956.0,170.0,5.0,0
Audi Q5 2.0 TDI,1300000,120000,Diesel,Automatic,1968.0,167.6,5.0,2
Toyota Innova 2.5 G4 Diesel 8-seater,786000,155000,Diesel,Manual,2494.0,102.0,8.0,0
Maruti Wagon R VXI BS IV,335000,30000,Petrol,Manual,998.0,67.04,5.0,1
Maruti Wagon R LXI Minor,114999,60000,Petrol,Manual,1061.0,67.0,5.0,1
Volkswagen Polo Diesel Comfortline 1.2L,229999,70000,Diesel,Manual,1199.0,73.9,5.0,0
Hyundai i20 2015-2017 Asta 1.4 CRDi,731000,40000,Diesel,Manual,1396.0,88.73,5.0,0
Hyundai Verna 1.6 SX,395000,120000,Diesel,Manual,1582.0,126.32,5.0,0
Maruti Swift Dzire VDI,500000,120000,Diesel,Manual,1248.0,74.0,5.0,0
Hyundai EON Era Plus,220000,50000,Petrol,Manual,814.0,55.2,5.0,1
Ford Figo Diesel Celebration Edition,240000,100000,Diesel,Manual,1399.0,68.1,5.0,0
Hyundai i20 1.4 CRDi Asta,215000,120000,Diesel,Manual,1396.0,90.0,5.0,0
Maruti Swift VDI,400000,90000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Zen Estilo VXI BSIV,191000,90000,Petrol,Manual,998.0,67.1,5.0,1
Mahindra Xylo D4 BSIII,351000,100000,Diesel,Manual,2498.0,112.0,8.0,0
Tata Nano XTA,250000,20000,Petrol,Automatic,624.0,37.48,4.0,1
Hyundai Verna CRDi SX ABS,210000,90000,Diesel,Manual,1493.0,110.0,5.0,0
Toyota Etios VX,300000,120000,Petrol,Manual,1496.0,88.7,5.0,1
Ford Figo Aspire 1.5 TDCi Trend,700000,35000,Diesel,Manual,1498.0,99.0,5.0,0
Hyundai Sonata CRDi M/T,500000,120000,Diesel,Manual,1991.0,150.0,5.0,0
Maruti 800 AC BSIII,120000,120000,Petrol,Manual,796.0,37.0,4.0,1
Hyundai Elite i20 Asta Option Diesel,850000,10000,Diesel,Manual,1396.0,88.76,5.0,0
Honda WR-V i-DTEC VX,770000,65000,Diesel,Manual,1498.0,98.6,5.0,0
Honda Civic 1.8 S MT,245000,90000,Petrol,Manual,1799.0,130.0,5.0,1
Maruti Alto K10 2010-2014 VXI,250000,90000,Petrol,Manual,998.0,67.1,5.0,1
Hyundai i20 Active SX Diesel,651000,42323,Diesel,Manual,1396.0,88.76,5.0,0
Honda City V MT,480000,42462,Petrol,Manual,1497.0,116.3,5.0,1
Maruti Swift VDI BSIV,470000,54723,Diesel,Manual,1248.0,74.0,5.0,0
Honda Jazz 1.5 V i DTEC,500000,30000,Diesel,Manual,1498.0,98.6,5.0,0
BMW X1 sDrive20d M Sport,1075000,42545,Diesel,Automatic,1998.0,190.0,5.0,2
Maruti S-Cross 2017-2020 Delta DDiS 200 SH,690000,32000,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Ignis 1.2 Delta BSIV,480000,20375,Petrol,Manual,1197.0,81.8,5.0,1
Maruti Swift ZDI Plus,450000,43978,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Vitara Brezza VDi Option,770000,50000,Diesel,Manual,1248.0,88.5,5.0,0
Mahindra Bolero B4,445000,40200,Diesel,Manual,1498.0,74.96,7.0,0
Hyundai i20 1.2 Asta Option,700000,30000,Petrol,Manual,1197.0,81.83,5.0,1
Maruti Ertiga ZDI,560000,90000,Diesel,Manual,1248.0,88.8,7.0,0
Ford Ecosport Sports Diesel,475000,48000,Diesel,Manual,1498.0,98.96,5.0,0
Honda Amaze E Diesel BSIV,465000,27233,Diesel,Manual,1498.0,98.63,5.0,0
Maruti Swift Dzire Tour LDI,520000,28832,Diesel,Manual,1248.0,74.0,5.0,0
Tata Manza Aura Safire,225000,35000,Petrol,Manual,1368.0,90.0,5.0,1
Maruti Ertiga ZXI,700000,35000,Petrol,Manual,1373.0,93.7,7.0,1
Maruti Vitara Brezza VDi,780000,40000,Diesel,Manual,1248.0,88.5,5.0,0
Honda City 2017-2020 GXi,93150,80000,Petrol,Manual,1497.0,78.0,5.0,1
Mahindra Quanto C4,403000,30000,Diesel,Manual,1493.0,100.0,7.0,0
Hyundai i10 Era,229999,50000,Petrol,Manual,1086.0,68.05,5.0,1
Maruti Swift Dzire VDI,525000,40000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Ertiga VXI,560000,25000,Petrol,Manual,1373.0,93.7,7.0,1
Mahindra XUV500 W7,830000,120000,Diesel,Manual,2179.0,152.87,7.0,0
Maruti Ritz VDi,250000,60000,Diesel,Manual,1248.0,73.9,5.0,0
Mahindra Bolero 2011-2019 DI - AC BS III,450000,110000,Diesel,Manual,2523.0,63.0,9.0,0
Mahindra Scorpio 1.99 S4,745000,67000,Diesel,Manual,1997.0,120.0,7.0,0
Ford Figo Diesel Titanium,144000,50000,Diesel,Manual,1399.0,68.0,5.0,0
Maruti Zen Estilo 1.1 VXI BSIII,120000,40000,Petrol,Manual,1061.0,64.0,5.0,1
Tata New Safari DICOR 2.2 EX 4x2,300000,120000,Diesel,Manual,2179.0,138.1,7.0,0
Maruti 800 DX,52000,100000,Petrol,Manual,796.0,37.0,4.0,1
Mahindra Scorpio 2.6 CRDe,300000,98000,Diesel,Manual,2179.0,120.0,8.0,0
Mahindra Bolero DI DX 7 Seater,270000,150000,Diesel,Manual,2523.0,63.0,7.0,0
Chevrolet Sail LT ABS,260000,38000,Diesel,Manual,1248.0,74.0,5.0,0
Toyota Etios GD,475000,120000,Diesel,Manual,1364.0,67.05,5.0,0
Ford Figo Diesel Titanium,302000,103000,Diesel,Manual,1399.0,68.0,5.0,0
Maruti 800 AC,45000,60000,Petrol,Manual,796.0,37.0,4.0,1
Maruti Vitara Brezza VDi Option,775000,80000,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Ertiga VDI,700000,50000,Diesel,Manual,1248.0,88.76,7.0,0
Maruti Swift VDI BSIV,530000,90000,Diesel,Manual,1248.0,74.0,5.0,0
Tata Nexon 1.5 Revotorq XZ Plus,869999,70000,Diesel,Manual,1497.0,108.5,5.0,0
Hyundai Elantra CRDi,155000,110000,Diesel,Manual,1991.0,112.2,5.0,0
Tata Tiago 1.2 Revotron XZA,550000,30000,Petrol,Automatic,1199.0,83.83,5.0,2
Maruti Swift Dzire VDI,600000,80000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Swift Dzire VDi,430000,110000,Diesel,Manual,1248.0,73.9,5.0,0
Tata Manza Aura (ABS) Quadrajet,246000,120000,Diesel,Manual,1248.0,90.0,5.0,0
Maruti Zen VXi - BS III,120000,120000,Petrol,Manual,993.0,60.0,5.0,1
Hyundai i20 Asta 1.2,565000,70000,Petrol,Manual,1197.0,81.83,5.0,1
Hyundai Elite i20 Asta Option Diesel,850000,60000,Diesel,Manual,1396.0,88.76,5.0,0
Maruti Alto LXi BSIII,160000,90000,Petrol,Manual,796.0,46.3,5.0,1
Fiat Linea Classic Plus 1.3 Multijet,325000,142500,Diesel,Manual,1248.0,75.0,5.0,0
Mahindra Scorpio VLX 2WD AIRBAG BSIV,450000,90000,Diesel,Manual,2179.0,120.0,8.0,0
Hyundai i10 Sportz 1.1L,310000,50000,Petrol,Manual,1086.0,68.05,5.0,1
Honda Amaze S i-Dtech,250000,90000,Diesel,Manual,1498.0,98.6,5.0,0
Maruti Swift Dzire LDI,420000,115000,Diesel,Manual,1248.0,74.0,5.0,0
Hyundai i20 Sportz AT 1.4,330000,150000,Petrol,Automatic,1396.0,98.6,5.0,2
Maruti Swift VXI Optional,405000,68000,Petrol,Manual,1197.0,81.8,5.0,1
Mahindra Bolero 2011-2019 ZLX,400000,90000,Diesel,Manual,2523.0,62.1,7.0,0
Honda City V AT,409999,110000,Petrol,Automatic,1497.0,116.3,5.0,2
Mahindra Bolero 2011-2019 SLX 2WD BSIII,500000,70000,Diesel,Manual,2523.0,62.1,7.0,0
Mahindra XUV500 W8 4WD,590000,80000,Diesel,Manual,2179.0,140.0,7.0,0
Hyundai i10 Era,135000,100000,Petrol,Manual,1086.0,68.05,5.0,1
Maruti Wagon R LXI,70000,70000,Petrol,Manual,998.0,67.1,5.0,1
Maruti 800 Std BSII,45000,77000,Petrol,Manual,796.0,37.0,4.0,1
Maruti Swift Dzire VDI,650000,35500,Diesel,Manual,1248.0,74.02,5.0,0
Maruti Wagon R VXI Optional,400000,17500,Petrol,Manual,998.0,67.04,5.0,1
Maruti Alto K10 VXI,350000,27000,Petrol,Manual,998.0,67.05,5.0,1
Hyundai Grand i10 1.2 CRDi Asta,550000,60000,Diesel,Manual,1186.0,73.97,5.0,0
Maruti Wagon R LXI Optional,350000,25000,Petrol,Manual,998.0,67.04,5.0,1
Maruti Swift Dzire LDI Optional,459999,80000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Alto LXi,185000,60000,Petrol,Manual,796.0,46.3,5.0,1
Volkswagen Polo Diesel Highline 1.2L,550000,38000,Diesel,Manual,1199.0,73.9,5.0,0
Maruti Wagon R Duo Lxi,300000,100000,LPG,Manual,998.0,58.2,5.0,4
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,900000,110000,Diesel,Manual,2494.0,102.0,8.0,0
Honda BR-V i-DTEC S MT,900000,92000,Diesel,Manual,1498.0,98.6,7.0,0
Mahindra Bolero 2011-2019 Plus AC,550000,180000,Diesel,Manual,2523.0,62.1,9.0,0
Maruti Baleno Zeta 1.2,625000,10000,Petrol,Manual,1197.0,83.1,5.0,1
Maruti Alto 800 VXI,310000,35000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Swift DDiS LDI,500000,35000,Diesel,Manual,1248.0,74.0,5.0,0
Hyundai Grand i10 CRDi Sportz,610000,23000,Diesel,Manual,1120.0,70.0,5.0,0
Tata Indigo CS LX (TDI) BS III,150000,150000,Diesel,Manual,1396.0,69.0,5.0,0
Hyundai Xcent 1.1 CRDi SX Option,480000,70000,Diesel,Manual,1120.0,71.0,5.0,0
Hyundai i20 1.2 Asta Option,650000,40000,Petrol,Manual,1197.0,81.83,5.0,1
Hyundai i20 1.4 CRDi Magna,290000,100000,Diesel,Manual,1396.0,90.0,5.0,0
Maruti Alto 800 LXI,300000,50000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Swift Dzire VDi,270000,120000,Diesel,Manual,1248.0,73.9,5.0,0
Hyundai Xcent 1.1 CRDi S,400000,60000,Diesel,Manual,1120.0,71.0,5.0,0
Maruti Alto 800 LX,280000,28000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Swift Dzire VXi,250000,60000,Petrol,Manual,1298.0,85.8,5.0,1
Maruti Swift Dzire VDi,495000,80000,Diesel,Manual,1248.0,73.9,5.0,0
Ford Endeavour 3.2 Titanium AT 4X4,3250000,12000,Diesel,Automatic,3198.0,197.0,7.0,2
Honda Amaze V Petrol BSIV,700000,4500,Petrol,Manual,1199.0,88.76,5.0,1
Tata Indigo eCS VX BSIV,310000,70000,Diesel,Manual,1396.0,69.0,5.0,0
Renault Duster 85PS Diesel RxE,650000,120000,Diesel,Manual,1461.0,83.8,5.0,0
Honda Jazz 1.2 V AT i VTEC,600000,80000,Petrol,Automatic,1199.0,88.7,5.0,2
Tata New Safari DICOR 2.2 EX 4x2,150000,150000,Diesel,Manual,2179.0,138.1,7.0,0
Mahindra Renault Logan 1.4 GLX Petrol,135000,120000,Petrol,Manual,1390.0,75.0,5.0,1
Maruti Swift Dzire VDI,650000,50000,Diesel,Manual,1248.0,74.0,5.0,0
Honda City V MT,550000,83000,Petrol,Manual,1497.0,116.3,5.0,1
Maruti Swift Dzire VDI,650000,20000,Diesel,Manual,1248.0,74.02,5.0,0
Toyota Fortuner 2.8 2WD AT BSIV,2900000,49000,Diesel,Automatic,2755.0,174.5,7.0,2
Honda Brio 1.2 VX MT,450000,6750,Petrol,Manual,1198.0,86.8,5.0,1
Maruti Ciaz VXi Plus,650000,26000,Petrol,Manual,1373.0,91.1,5.0,1
Hyundai Grand i10 1.2 Kappa Era,430000,52000,Petrol,Manual,1197.0,81.86,5.0,1
Hyundai Creta 1.6 CRDi AT S Plus,1143000,51000,Diesel,Automatic,1582.0,126.2,5.0,2
Maruti Swift AMT ZXI Plus BSIV,700000,20000,Petrol,Automatic,1197.0,81.8,5.0,2
Maruti Ritz VXi,229999,18500,Petrol,Manual,1197.0,85.8,5.0,1
Mahindra TUV 300 T4,509999,142000,Diesel,Manual,1493.0,100.0,7.0,0
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,670000,50478,Petrol,Manual,1499.0,110.4,5.0,1
Tata Tiago 1.2 Revotron XZA,525000,9200,Petrol,Automatic,1199.0,83.83,5.0,2
Renault Duster 85PS Diesel RxE,515000,40000,Diesel,Manual,1461.0,83.8,5.0,0
Maruti Baleno Delta,630000,5000,Petrol,Manual,1197.0,81.8,5.0,1
Datsun RediGO A,270000,2300,Petrol,Manual,799.0,53.64,5.0,1
Maruti Alto 800 LXI,300000,40000,Petrol,Manual,796.0,47.3,5.0,1
Mahindra Xylo D2 BSIV,250000,119000,Diesel,Manual,2489.0,95.0,8.0,0
Maruti Alto LX,90000,100000,Petrol,Manual,796.0,46.3,5.0,1
Maruti Ertiga SHVS ZDI Plus,750000,100000,Diesel,Manual,1248.0,88.5,7.0,0
Maruti Wagon R LXI Minor,135000,50000,Petrol,Manual,1061.0,67.0,5.0,1
Maruti Eeco Smiles 5 Seater AC,275000,80000,Petrol,Manual,1196.0,73.0,5.0,1
Tata Nexon 1.2 Revotron XM,740000,15000,Petrol,Manual,1198.0,108.5,5.0,1
Honda Amaze S i-VTEC,690000,1303,Petrol,Manual,1198.0,86.7,5.0,1
Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Automatic,1968.0,188.0,5.0,2
Lexus ES 300h,5150000,20000,Petrol,Automatic,2487.0,214.56,5.0,2
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,1999.0,177.0,5.0,2
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Automatic,3604.0,280.0,5.0,2
Toyota Yaris V BSIV,1000000,4295,Petrol,Manual,1496.0,105.5,5.0,1
Toyota Yaris V BSIV,1000000,5229,Petrol,Manual,1496.0,105.5,5.0,1
Hyundai Grand i10 Nios Sportz,550000,4701,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Baleno Alpha,600000,6757,Petrol,Manual,1197.0,81.8,5.0,1
Skoda Rapid 1.6 MPI AT Style Plus,675000,28182,Petrol,Automatic,1598.0,103.52,5.0,2
Nissan Kicks XV BSIV,950000,11533,Petrol,Manual,1498.0,104.55,5.0,1
Honda City i VTEC V,850000,11688,Petrol,Manual,1497.0,117.3,5.0,1
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,Automatic,2494.0,157.7,5.0,2
Toyota Corolla Altis 1.8 VL AT,550000,57728,Petrol,Automatic,1794.0,138.1,5.0,2
Maruti Ciaz 1.3 Alpha,925000,23712,Diesel,Manual,1248.0,88.5,5.0,0
Ford Ecosport 1.5 Ti VCT AT Titanium,625000,70670,Petrol,Automatic,1499.0,110.0,5.0,2
Maruti Alto 800 LXI,200000,43381,Petrol,Manual,796.0,47.3,5.0,1
Honda City i VTEC CVT VX,635000,79011,Petrol,Automatic,1497.0,117.3,5.0,2
Honda Jazz VX,550000,56494,Petrol,Manual,1199.0,88.7,5.0,1
Maruti SX4 VDI,425000,50000,Diesel,Manual,1248.0,88.73,5.0,0
Maruti Wagon R VXI BS IV,220000,40000,Petrol,Manual,998.0,67.1,5.0,1
Hyundai Grand i10 1.2 Kappa Asta,590000,10000,Petrol,Manual,1197.0,81.86,5.0,1
Mahindra Thar CRDe,775000,35000,Diesel,Manual,2498.0,105.0,6.0,0
Maruti Ritz VXi,350000,58500,Petrol,Manual,1197.0,85.8,5.0,1
Maruti Baleno Delta 1.2,575000,20000,Petrol,Manual,1197.0,83.1,5.0,1
Nissan Micra XL,200000,43500,Petrol,Manual,1198.0,75.0,5.0,1
Tata Hexa XT,1575000,30000,Diesel,Manual,2179.0,153.86,7.0,0
Ford EcoSport 1.5 TDCi Titanium BSIV,600000,63000,Diesel,Manual,1498.0,98.59,5.0,0
Mahindra Bolero 2011-2019 ZLX BSIII,720000,35000,Diesel,Manual,2523.0,62.1,7.0,0
Tata Indigo eCS LS TDI BSIII,158000,110000,Diesel,Manual,1396.0,69.0,5.0,0
Tata Hexa XT,1575000,25000,Diesel,Manual,2179.0,153.86,7.0,0
Hyundai Xcent 1.2 VTVT S AT,580000,30000,Petrol,Automatic,1197.0,81.86,5.0,2
Mahindra Bolero 2011-2019 SLX,420000,50000,Diesel,Manual,2523.0,62.1,7.0,0
Mahindra Marazzo M6 8Str,1200000,35000,Diesel,Manual,1497.0,121.0,8.0,0
Renault KWID 1.0 RXT Optional,350000,30000,Petrol,Manual,999.0,67.0,5.0,1
Honda City i VTEC VX,650000,56000,Petrol,Manual,1497.0,117.3,5.0,1
Maruti Wagon R VXI BS IV,400000,12700,Petrol,Manual,998.0,67.04,5.0,1
Tata Nexon 1.5 Revotorq XM,700000,35000,Diesel,Manual,1497.0,108.5,5.0,0
Hyundai Xcent 1.2 Kappa SX,520000,30000,Petrol,Manual,1197.0,82.0,5.0,1
Mahindra Scorpio LX BSIV,450000,120000,Diesel,Manual,2179.0,120.0,9.0,0
Tata Safari Storme EX,850000,100000,Diesel,Manual,2179.0,147.94,7.0,0
Renault KWID RXT,350000,34000,Petrol,Manual,799.0,53.3,5.0,1
Mahindra Xylo D2,450000,56000,Diesel,Manual,2489.0,95.0,8.0,0
Hyundai i10 Era,165000,90000,Petrol,Manual,1086.0,68.05,5.0,1
Hyundai Santro Xing GLS,160000,65000,Petrol,Manual,1086.0,62.1,5.0,1
Tata New Safari DICOR 2.2 EX 4x4,300000,80000,Diesel,Manual,2179.0,138.0,7.0,0
Mahindra Scorpio VLX 2WD BSIV,550000,90000,Diesel,Manual,2179.0,120.0,8.0,0
Maruti Alto K10 VXI,285000,40000,Petrol,Manual,998.0,67.05,5.0,1
Hyundai Creta 1.6 CRDi SX,850000,58000,Diesel,Manual,1582.0,126.2,5.0,0
Ford Freestyle Titanium Petrol BSIV,700000,19100,Petrol,Manual,1194.0,94.68,5.0,1
Maruti Ertiga ZXI Plus Petrol,900000,25000,Petrol,Manual,1462.0,103.0,7.0,1
Maruti Alto LXi BSIII,180000,49455,Petrol,Manual,796.0,46.3,5.0,1
Hyundai EON D Lite Plus Option,220000,100000,Petrol,Manual,814.0,55.2,5.0,1
Tata Indica Vista Quadrajet LS,120000,120000,Diesel,Manual,1248.0,74.0,5.0,0
